Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum
data analyst,2023-01-19,chatillon,"sql, test, big data, nosql, git, sas, power bi, cloud, tableau, devops, spark",axa partners holding sa,cdi,40000.0,50000.0
data analyst,2023-01-25,ile de france,"python, agile, test, big data, outils, scrum, etl, spark",sas k-lagan france,cdd,42000.0,60000.0
manager,2023-01-24,paris,"business intelligence, bases de données, power bi",heneo,cdi,49000.0,51000.0
consultant,2023-01-25,ile de france,"marketing, crm",aktisea,cdd,25000.0,30000.0
délégué à la protection des données ,2023-01-25,versailles,sécurité,c.i.g. de la grande couronne,cdi,25000.0,40000.0
intendant de données  sapas ,2023-01-25,creteil,,upec,cdi,26700.0,45600.0
analyste commercial ,2023-01-25,boulogne billancourt,"support, excel, crm",sarawak paris,cdi,24000.0,26000.0
ingenieur,2023-01-26,st ouen sur seine,"sql, test, outils, sas, power bi, sql server, tableau, excel, etl",groupe gli,cdd,35000.0,45000.0
consultant,2023-01-25,paris,"test, recette, communication, support",f.b.h.associes,cdi,45000.0,90000.0
responsable,2023-01-23,paris,"outils, bases de données, sap, tableau, sécurité, salesforce",brainlogic,cdi,50000.0,65000.0
chef de projet,2023-01-23,paris,etl,tenor,cdi,25000.0,36000.0
ingénieur homologations data     ,2023-01-26,st denis,"test, communication, réseaux, ios",sncf,cdi,,
responsable,2023-01-25,st denis,"support, acquisition, moe",sncf,cdi,,
ingénieur homologations data     ,2023-01-25,st denis,"test, communication, réseaux, ios",sncf,cdi,,
data engineer,2023-01-24,paris,"python, agile, sas",sas k-lagan france,cdd,,
data analyst,2023-01-25,neuilly sur seine,"big data, outils, cloud",jems datafactory,cdi,,
data analyst,2023-01-25,neuilly sur seine,"big data, outils, cloud",jems datafactory,cdi,,
développeur  développeuse big data        ,2023-01-25,neuilly sur seine,"big data, outils, cloud, linux, devops",jems datafactory,cdi,,
référent,2023-01-19,st denis,"agile, communication, acquisition, devops, sécurité",sncf,cdi,,
data analyst,2023-01-26,paris,"test, recette, marketing, git, sap",sas k-lagan france,cdi,,
data ingénieur,2023-01-25,paris,"hadoop, sap, cloud",sas k-lagan france,cdi,,
data analyst,2023-01-26,courbevoie,"python, sql, agile, outils, bases de données, power bi, sql server, c#, data quality",skytech consulting,cdi,,
data analyst,2023-01-25,paris,"python, sql, agile, outils, marketing, git, bases de données, tableau",nan,cdd,,
data contrôleur ,2023-01-24,dourdan,"agile, outils, git, tableau",baker tilly strego,cdd,,
architecte,2023-01-23,st denis,"big data, recette, hadoop, scala, unix, cloud, moe, unix, devops, spark",sncf,cdi,,
product owner plateforme big data ,2023-01-17,st denis,"agile, big data, support, power bi, cloud, sécurité, spark",sncf,cdi,,
ingénieur d'études en génie electrique et data        ,2023-01-16,seine saint denis,"git, réseaux",sncf,intérim,,
manager,2023-01-25,neuville sur oise,"outils, qlik, tableau, qlikview",sapeurs pompiers du val d oise,cdi,,
développeur  développeuse informatique,2023-01-13,paris,"test, big data, hadoop, java, scala, sécurité, spark",it services,cdi,,
manager,2023-01-23,puteaux,"python, test, tableau, excel",nan,cdi,,
europe beauty retail deputy ,2023-01-13,puteaux,"marketing, git, support, acquisition",nan,cdd,,
data engineer,2023-01-25,paris,"sql, recette, machine learning, sas, power bi, excel",link consulting,cdi,60000.0,70000.0
data engineer,2023-01-25,courbevoie,"python, sql, agile, test, big data, outils, nosql, hadoop, git, bases de données, support, java, scala, unix, linux, unix, excel, spark",inetum,cdi,50000.0,60000.0
consultant,2023-01-25,neuilly sur seine,"data management, bases de données, sécurité, excel",nan,cdd,40000.0,45000.0
data scientist,2023-01-25,paris,"test, outils, validation, data management, data quality",nan,cdi,50000.0,60000.0
consultant,2023-01-25,paris,"data management, data quality",nan,intérim,45000.0,50000.0
manager,2023-01-25,courbevoie,"test, outils, communication, support, ios, data quality",nan,intérim,40000.0,45000.0
architecte,2023-01-24,courbevoie,"sql, agile, git, excel",inetum,cdi,50000.0,60000.0
data scientist,2023-01-23,st denis,"python, sql, outils, machine learning, git, postgresql, cloud",nan,cdi,50000.0,60000.0
manager,2023-01-23,ile de france,"outils, marketing, data management, business intelligence, machine learning, sap, power bi, oracle, cloud, qlik, tableau, qlikview, excel",nan,intérim,69000.0,70000.0
data scientist,2023-01-23,ile de france,"python, sql, test, outils, nosql, machine learning, cloud, ios, spark, nlp, tensorflow",nan,cdi,51500.0,52500.0
data scientist,2023-01-23,paris,"python, outils, communication, marketing, business intelligence, sas, qlik",nan,cdi,30000.0,31000.0
manager,2023-01-23,aubervilliers,"git, support, web, ios",nan,cdi,29000.0,40000.0
data analyst,2023-01-21,nanterre,excel,nan,cdi,116991.0,117250.0
data analyst,2023-01-21,paris,"test, outils, bases de données, support, sap, tableau",nan,cdi,40000.0,45000.0
manager,2023-01-21,paris,"python, sql, agile, nosql, machine learning, cloud, ios, spark",nan,cdi,60000.0,65000.0
responsable,2023-01-21,gennevilliers,"outils, business intelligence, tableau, crm",nan,cdi,65000.0,70000.0
chef de projet,2023-01-21,paris,,nan,cdi,45000.0,55000.0
manager,2023-01-21,paris  dept,"sql, git, bases de données, qlik, sécurité, talend, etl",mp,cdi,48000.0,50000.0
chef de projet,2023-01-21,essonne,"data management, bases de données, salesforce",mp,cdi,43000.0,48000.0
data analyst,2023-01-21,paris  dept,"test, outils, bases de données, support, sap, tableau",mp,cdi,40000.0,45000.0
data analyst,2023-01-21,paris  dept,"outils, excel",mp,cdi,40000.0,46000.0
responsable,2023-01-18,nanterre,"sql, big data, outils, communication, bases de données, excel",freelancr,cdi,80000.0,90000.0
data officer ,2023-01-17,guyancourt,"agile, sas",robert half international,cdi,50000.0,60000.0
consultant,2023-01-14,st ouen sur seine,"data management, data quality",gfi,cdi,40000.0,58000.0
manager,2023-01-13,paris,"python, sql, communication, git, qlik, crm",nan,cdi,40000.0,65000.0
manager,2023-01-13,ivry sur seine,"support, sap, excel",nan,cdi,39000.0,40000.0
manager,2023-01-13,ivry sur seine,"support, sap, excel",nan,cdi,39000.0,40000.0
manager,2023-01-13,guyancourt,"outils, marketing, support, sap, power bi, qlik, excel, salesforce",nan,cdi,20000.0,20000.0
data scientist,2023-01-13,paris,"sql, outils, git, tableau, excel",nan,cdi,40000.0,40000.0
data analyst,2023-01-12,neuilly sur seine,"data management, bases de données, sécurité, excel",cometh consulting,cdi,45000.0,
data engineer,2023-01-12,saclay,"python, sql, big data, outils, intelligence artificielle, nosql, hadoop, bases de données, java, cloud, c#, spark",nan,cdi,37700.0,45000.0
data miner ,2023-01-24,paris,"python, sql, big data, outils, marketing, sas, vba, excel",nan,cdi,60000.0,70000.0
data scientist,2023-01-25,paris,"outils, intelligence artificielle",nan,cdi,64450.0,65000.0
data scientist,2023-01-13,paris,"python, outils, intelligence artificielle, machine learning, java, talend, etl",nan,cdi,40000.0,45000.0
data scientist,2023-01-25,paris,"python, agile, intelligence artificielle, bases de données, sas, ios",nan,cdi,40000.0,47000.0
manager,2023-01-16,paris,"data management, support",nan,cdi,48000.0,58000.0
data scientist,2023-01-16,ile de france,"python, sql, test, cloud",nan,cdi,42000.0,48000.0
data miner ,2023-01-11,reau,"vba, excel",nan,cdd,35000.0,35000.0
manager,2023-01-11,bobigny,"outils, data management, machine learning, support, excel",nan,cdd,70000.0,90000.0
data protection officer,2023-01-13,puteaux,excel,nan,cdi,80000.0,95000.0
data privacy officer,2023-01-11,ivry sur seine,"big data, outils, communication, iaas, paas, saas, acquisition, sas",robert half international,cdd,60000.0,60000.0
manager,2023-01-10,neuilly sur seine,"python, sql, test, intelligence artificielle, saas, réseaux sociaux, réseaux, scala, web, postgresql, devops, spark",seyos,cdi,60000.0,70000.0
data scientist,2023-01-10,paris,"sql, test, tableau, data quality",dynamis rh,cdi,60000.0,70000.0
manager,2023-01-12,montigny le bretonneux,"python, sas, power bi, tableau, excel",qr versailles it,cdi,35000.0,45000.0
manager,2023-01-09,rungis,"sql, agile, recette, marketing, git, scrum, qlik",nan,cdi,48000.0,57600.0
data scientist,2023-01-09,issy les moulineaux,"python, test, intelligence artificielle, tensorflow",nan,cdd,45000.0,50000.0
data scientist,2023-01-09,issy les moulineaux,"python, test, intelligence artificielle, tensorflow",nan,cdd,45000.0,50000.0
manager,2023-01-09,paris,"big data, outils, communication, data management, git, support",nan,cdi,35000.0,60000.0
manager,2023-01-09,ivry sur seine,"support, sap, excel",nan,cdi,39000.0,40000.0
business analyst,2023-01-07,paris  dept,"marketing, support, excel",mp,cdi,155988.0,207984.0
data scientist,2023-01-05,paris,"python, machine learning, git, npl, keras",nan,cdi,66000.0,
data scientist,2023-01-05,paris,"python, machine learning, git, npl, keras",nan,cdi,66000.0,66000.0
manager,2023-01-16,paris,"sql, test, outils, bases de données, oracle, tableau, excel, talend, crm",nan,cdi,60000.0,80000.0
data scientist,2023-01-03,paris,"python, machine learning, git, cloud, tableau, nlp, keras",nan,intérim,66000.0,
manager,2022-12-31,tremblay en france,"test, big data, outils, validation, machine learning, support, acquisition, ios",nan,cdi,35000.0,40000.0
data scientist,2023-01-23,paris,"agile, outils, communication, marketing, git, bases de données, tableau, excel, crm",nan,cdd,45000.0,70000.0
manager,2023-01-16,paris,"python, sql, test, data management, bases de données, sql server, oracle",nan,cdi,50000.0,55000.0
data scientist,2023-01-13,paris,"communication, intelligence artificielle, git, support, moa",nan,cdi,35000.0,45000.0
data scientist,2023-01-16,courbevoie,"outils, support, sap, oracle",nan,cdi,40000.0,41000.0
manager,2023-01-18,paris,"python, sql, git, bases de données, power bi, cloud, data quality",nan,cdi,48000.0,52000.0
manager,2023-01-18,levallois perret,"outils, communication, sap, power bi, tableau, data quality",nan,cdi,80000.0,100000.0
data scientist,2023-01-16,bezons,"python, sql, test, outils, communication, nosql, bases de données, excel",nan,cdi,47000.0,48000.0
manager,2023-01-13,asnieres sur seine,"sql, outils, data management, business intelligence, bases de données, power bi, sql server",nan,cdi,43000.0,48000.0
manager,2023-01-21,orly,"sql, power bi, tableau",nan,cdi,60000.0,70000.0
manager,2023-01-12,nanterre,"test, communication, marketing, git, sécurité",nan,cdi,39000.0,45000.0
développeur python ,2023-01-03,st ouen l aumone,"python, sql, test, big data, bases de données, oracle, mysql, postgresql",inetum,cdi,40000.0,60000.0
développeur backend senior ,2023-01-20,paris,"sql, outils, communication, nosql, git, bases de données, serveur, cloud, devops, sécurité, excel",nextgen rh,cdi,55000.0,70000.0
manager,2023-01-26,paris,"python, sql, saas, scala",nan,cdi,,
data scientist,2023-01-26,neuilly sur seine,"python, sql, test, outils, communication, nosql, machine learning, cloud, ios, spark, nlp, tensorflow",pricewaterhousecoopers audit,cdi,40000.0,46000.0
data engineer,2023-01-26,paris,"sql, bases de données, excel",tcm labs,cdi,,
data engineer,2023-01-26,issy les moulineaux,"sql, bases de données, sas, cloud, devops, etl",cerba healthcare,intérim,,
data analyst,2023-01-26,paris,"outils, bases de données, support, web, cloud, tableau",agence qualite construction,cdi,35000.0,40000.0
responsable,2023-01-26,moussy le vieux,"agile, git, devops, sécurité",tereos france,cdi,,
manager,2023-01-26,paris,"communication, git, acquisition, tableau, excel",uptoo,cdi,40000.0,60000.0
"ingénieur homologations data   système, réseaux, données ",2023-01-26,st denis,"test, communication, réseaux, ios",sncf act,cdi,,
data analyst,2023-01-26,montrouge,"python, sql, outils, marketing, tableau, crm",bayard,cdi,,
data engineer,2023-01-26,boulogne billancourt,"python, sql, agile, test, big data, outils, nosql, marketing, git, cloud, etl",hilti digital marketing services sas,intérim,,
responsable,2023-01-26,paris,"outils, communication, tableau",nan,cdi,,
data analyst,2023-01-26,paris,"python, sql, outils, power bi, tableau, excel",groupe mgen,cdi,,
data analyst,2023-01-26,villejuif,"outils, communication, bases de données",lcl,cdi,,
data analyst,2023-01-26,bobigny,"python, sql, crm",celio france sas,cdi,,
consultant,2023-01-26,paris,"agile, test, support",data insight,cdi,,
consultant,2023-01-26,neuilly sur seine,"communication, data management, cloud",pricewaterhousecoopers audit,cdd,40000.0,46000.0
data analyst,2023-01-26,guyancourt,"python, sql, agile, outils, machine learning, java, jquery, sql server, c#, javascript, etl",egis,cdi,,
data engineer,2023-01-26,neuilly sur seine,"python, sql, agile, big data, outils, machine learning, git, web, postgresql, cloud, qlik, tableau, spark",pricewaterhousecoopers audit,cdd,40000.0,46000.0
consultant,2023-01-26,neuilly sur seine,"outils, communication, data management, cloud, excel, data quality",pricewaterhousecoopers audit,cdi,40000.0,46000.0
data analyst,2023-01-26,neuilly sur seine,"python, sql, outils, communication, sas, power bi, cloud, qlik, tableau, salesforce, spark, tensorflow",pricewaterhousecoopers audit,cdi,40000.0,46000.0
data analyst,2023-01-26,neuilly sur seine,"python, sql, outils, communication, sas, power bi, cloud, qlik, tableau, salesforce, spark, tensorflow",pricewaterhousecoopers audit,intérim,40000.0,46000.0
data analyst,2023-01-26,asnieres sur seine,"python, sql, test, outils, communication, bases de données, power bi, sécurité, talend",nan,cdi,,
chef de projet,2023-01-26,boulogne billancourt,"communication, marketing, data management, web, tableau",nan,cdi,,
data scientist,2023-01-26,,"test, big data, outils, intelligence artificielle, validation, machine learning, support, ios",nan,nan,,
data analyst,2023-01-26,maisons alfort,"python, sql, agile, test, outils, communication, data management, git, scrum, sas, power bi, cloud, qlik, tableau, qlikview, data quality, etl",nan,cdi,,
data analyst,2023-01-26,boulogne billancourt,"python, sql, big data, outils, marketing, bases de données, sas, power bi, tableau, crm",nan,intérim,,
manager,2023-01-26,seine saint denis,"agile, big data, outils, communication, validation, git, support, sap",nan,cdi,,
data engineer,2023-01-26,,"outils, business intelligence, git, bases de données, cloud, excel",nan,nan,,
data analyst,2023-01-25,st ouen sur seine,"python, sql, crm",nan,cdi,,
manager,2023-01-25,paris,"bases de données, sas",nan,cdi,,
manager,2023-01-25,st denis,"python, sql, outils, machine learning, git, postgresql, cloud",nan,cdi,,
data analyst,2023-01-25,arcueil,"outils, marketing, git, support, power bi, crm",autodistribution,cdi,,
data engineer,2023-01-25,puteaux,"python, sql, test, nosql, bases de données, support, sql server, mysql, cloud, linux, sécurité",transatel,cdi,,
data engineer,2023-01-25,paris,"sql, recette, sas, power bi, excel",link consulting,intérim,45000.0,50000.0
data engineer,2023-01-25,paris,"sql, agile, test, hadoop, git, java",groupe aydon,cdd,,
data analyst,2023-01-25,puteaux,"python, outils, communication, excel",dogfinance,cdi,,
data engineer,2023-01-25,paris,"sql, agile, outils, hadoop, validation, scrum, scala, c#, spark",natixis,cdi,,
consultant,2023-01-25,paris,"python, test, outils, machine learning, web, cloud, tableau, vba",go concept,cdi,35000.0,55000.0
expert,2023-01-26,noisy le grand,"python, sql, outils, communication, git, power bi, excel",ratp,cdi,,
chargé de crm et data  marketing,2023-01-25,courbevoie,"test, recette, outils, marketing, bases de données, support, cloud, sécurité, salesforce, crm",mazars,cdi,,
chargé de crm et data  marketing,2023-01-25,courbevoie,"test, recette, outils, marketing, bases de données, support, cloud, sécurité, salesforce, crm",mazars,cdi,,
chef de projet,2023-01-25,paris,communication,nextgen rh,cdi,45000.0,55000.0
data scientist,2023-01-25,courbevoie,"python, agile, test, git, java, c++, excel, tensorflow, keras",gfi informatique,cdi,45000.0,60000.0
data engineer,2023-01-25,paris,"big data, scala, etl, spark",1g link,cdi,,
"analystes data science et statistiques    système, réseaux, données ",2023-01-25,paris,"big data, communication, bases de données, ios",banque de france,cdi,,
product owner data connaissance client   informatique de gestion ,2023-01-25,boulogne billancourt,"sql, agile, test, recette, marketing, scrum, cloud, excel",solocal,cdi,,
ingénieur.e devops  dataops au sein de notre data factorydsis2ip   informatique de gestion ,2023-01-26,paris,"python, test, big data, outils, communication, data management, git, bases de données, scrum, windows, scala, cloud, linux, devops, sécurité, excel, ios, data quality, talend, spark",ratp,cdi,,
consultant,2023-01-25,paris,"python, sql, data management, business intelligence, power bi, cloud, moe, excel",datatorii,cdi,45000.0,55000.0
 product owner data média,2023-01-25,rueil malmaison,"support, web, crm",nan,cdi,,
 product owner data média,2023-01-25,bry sur marne,"support, web, crm",nan,cdi,,
data scientist,2023-01-25,villejuif,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,l hay les roses,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,maisons alfort,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,les lilas,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,puteaux,"big data, intelligence artificielle, sécurité",nan,cdi,,
 product owner data média,2023-01-25,villejuif,"support, web, crm",nan,cdi,,
 product owner data média,2023-01-25,antony,"support, web, crm",nan,cdd,,
 product owner data média,2023-01-25,clamart,"support, web, crm",nan,intérim,,
data scientist,2023-01-25,rungis,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,rosny sous bois,"big data, intelligence artificielle, sécurité",nan,cdi,,
 product owner data média,2023-01-25,sceaux,"support, web, crm",nan,cdi,,
 product owner data média,2023-01-25,noisy le sec,"support, web, crm",nan,cdi,,
 product owner data média,2023-01-25,joinville le pont,"support, web, crm",nan,cdi,,
 product owner data média,2023-01-25,puteaux,"support, web, crm",nan,cdi,,
data scientist,2023-01-25,verrieres le buisson,"big data, intelligence artificielle, sécurité",nan,cdi,,
ingénieur big data ,2023-01-25,la garenne colombes,"big data, outils",nan,cdi,,
 product owner data média,2023-01-25,montrouge,"support, web, crm",nan,cdi,,
data engineer,2023-01-25,paris,"support, tableau",nan,cdi,,
expert,2023-01-25,paris,"support, réseaux, ios",nan,cdd,,
chef de projet,2023-01-25,paris,support,nan,cdi,,
data analyst,2023-01-25,orly,"outils, excel",nan,cdi,,
data scientist,2023-01-25,neuilly sur seine,"big data, intelligence artificielle, sécurité",nan,cdi,,
data analyst,2023-01-25,vitry sur seine,"outils, excel",nan,cdi,,
data scientist,2023-01-25,nanterre,"big data, intelligence artificielle, sécurité",nan,cdi,,
data analyst,2023-01-25,velizy villacoublay,"outils, excel",nan,cdd,,
data analyst,2023-01-25,st cloud,"outils, excel",nan,cdi,,
 product owner data média,2023-01-25,velizy villacoublay,"support, web, crm",nan,cdi,,
data analyst,2023-01-25,bourg la reine,"outils, excel",nan,cdi,,
data analyst,2023-01-25,verrieres le buisson,"outils, excel",nan,cdi,,
data analyst,2023-01-25,wissous,"outils, excel",nan,cdi,,
 product owner data média,2023-01-25,orly,"support, web, crm",nan,intérim,,
 product owner data média,2023-01-25,orly,"support, web, crm",nan,cdi,,
 product owner data média,2023-01-25,orly,"support, web, crm",nan,cdi,,
 product owner data média,2023-01-25,rosny sous bois,"support, web, crm",nan,cdi,,
data scientist,2023-01-25,la garenne colombes,"big data, intelligence artificielle, sécurité",nan,cdi,,
data analyst,2023-01-25,paris,"outils, excel",nan,cdi,,
data analyst,2023-01-25,clamart,"outils, excel",nan,intérim,,
 product owner data média,2023-01-25,maisons alfort,"support, web, crm",nan,cdi,,
data analyst,2023-01-25,nanterre,"outils, excel",nan,cdd,,
data scientist,2023-01-25,bagneux,"big data, intelligence artificielle, sécurité",nan,cdi,,
 product owner data média,2023-01-25,chatenay malabry,"support, web, crm",nan,cdi,,
 product owner data média,2023-01-25,villeneuve la garenne,"support, web, crm",nan,cdi,,
data scientist,2023-01-25,le kremlin bicetre,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,bagnolet,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,ville d avray,"big data, intelligence artificielle, sécurité",nan,cdi,,
 product owner data média,2023-01-25,le blanc mesnil,"support, web, crm",nan,cdi,,
data analyst,2023-01-25,antony,"outils, excel",nan,cdi,,
data analyst,2023-01-25,garges les gonesse,"outils, excel",nan,cdi,,
data analyst,2023-01-25,champigny sur marne,"outils, excel",nan,cdi,,
 product owner data média,2023-01-25,creteil,"support, web, crm",nan,cdi,,
data scientist,2023-01-25,bezons,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,courbevoie,"big data, intelligence artificielle, sécurité",nan,cdi,,
data scientist,2023-01-25,courbevoie,"big data, intelligence artificielle, sécurité",nan,cdi,,
chef de produit data acquisition  activation ,2023-01-25,paris,"communication, marketing, git, acquisition",nan,cdi,,
manager,2023-01-25,paris,data management,nan,cdi,,
responsable,2023-01-25,boulogne billancourt,marketing,nan,profession libérale,,
data analyst,2023-01-25,paris,"big data, saas, machine learning",nan,cdi,,
data analyst,2023-01-25,neuilly sur seine,cloud,nan,cdi,,
data analyst,2023-01-25,paris,"big data, saas, machine learning",nan,cdi,,
tech lead solutions big data ,2023-01-25,fontenay sous bois,"agile, big data, validation, web, cloud",nan,cdi,,
head of data management ,2023-01-25,paris,data management,nan,cdi,,
chef de projet,2023-01-25,paris,"git, crm",nan,cdi,,
ingénieur data ,2023-01-25,paris,"outils, etl",nan,cdi,,
ingénieur big data ,2023-01-25,suresnes,"big data, outils",nan,cdi,,
ingénieur big data ,2023-01-25,nanterre,"big data, outils",nan,cdi,,
ingénieur big data ,2023-01-25,clichy,"big data, outils",nan,cdi,,
ingénieur big data ,2023-01-25,houilles,"big data, outils",nan,cdi,,
ingénieur big data ,2023-01-25,st ouen sur seine,"big data, outils",nan,cdi,,
ingénieur big data ,2023-01-25,colombes,"big data, outils",nan,cdi,,
data engineer,2023-01-25,paris,"python, sql, agile, paas, power bi, scala, spark",nan,intérim,,
resp moa travaux fonciere  data center ,2023-01-25,paris,"moa, excel",nan,cdi,,
kam  data marketing ,2023-01-25,paris,"marketing, ios",nan,cdi,,
kam  data marketing ,2023-01-25,paris,"marketing, ios",nan,cdi,,
 product owner data média,2023-01-25,st maur des fosses,"support, web, crm",nan,cdi,,
data scientist,2023-01-25,st mande,saas,nan,cdi,,
data scientist,2023-01-25,villeneuve la garenne,saas,nan,cdi,,
data analyst,2023-01-25,la courneuve,"outils, excel",nan,cdi,,
data scientist,2023-01-25,creteil,saas,nan,cdd,,
 product owner data média,2023-01-25,argenteuil,"support, web, crm",nan,cdi,,
data scientist,2023-01-25,st denis,saas,nan,cdi,,
data scientist,2023-01-25,bagnolet,saas,nan,cdi,,
ingénieur big data ,2023-01-25,villeneuve la garenne,"big data, outils",nan,cdi,,
data analyst,2023-01-25,enghien les bains,"outils, excel",nan,cdi,,
data scientist,2023-01-25,drancy,saas,nan,cdi,,
data analyst,2023-01-25,antony,"marketing, git",nan,cdi,,
data analyst,2023-01-25,noisy le sec,"outils, excel",nan,cdi,,
data scientist,2023-01-25,wissous,saas,nan,intérim,,
data scientist,2023-01-25,drancy,"big data, intelligence artificielle, sécurité",nan,cdi,,
ingénieur big data ,2023-01-25,bois colombes,"big data, outils",nan,cdi,,
data analyst,2023-01-25,puteaux,"outils, excel",nan,cdi,,
data analyst,2023-01-25,montreuil,"outils, excel",nan,cdi,,
data scientist,2023-01-25,gennevilliers,saas,nan,cdi,,
data scientist,2023-01-25,gennevilliers,saas,nan,cdi,,
data scientist,2023-01-25,garges les gonesse,saas,nan,cdd,,
data scientist,2023-01-25,chaville,saas,nan,cdi,,
data scientist,2023-01-25,velizy villacoublay,saas,nan,cdi,,
data analyst,2023-01-25,le blanc mesnil,"outils, excel",nan,cdd,,
data scientist,2023-01-25,clichy,"big data, intelligence artificielle, sécurité",nan,cdi,,
manager,2023-01-25,neuilly sur seine,cloud,nan,intérim,,
data analyst,2023-01-25,bry sur marne,"outils, excel",nan,cdi,,
data scientist,2023-01-25,alfortville,saas,nan,cdi,,
data engineer,2023-01-25,paris,cloud,nan,cdi,,
software engineer big data ,2023-01-25,fontenay sous bois,"agile, big data",nan,cdi,,
acheteur  group lead buyer market data gss ,2023-01-25,pantin,,nan,cdi,,
