Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum
data engineer,2023-01-25,paris,"python, sql, outils, nosql, bases de données, cloud, devops","
odicis
","cdi
 ",23000.0,25000.0
data analyst,2023-01-23,paris,"sql, test, big data, outils, validation, business intelligence, sap, power bi, sql server, oracle, qlik, tableau, qlikview, ios, cognos, talend, etl","
digilinks
","cdi
 ",40000.0,40000.0
manager,2023-01-25,longpont sur orge,"python, sql, outils, marketing, git, sas, power bi, tableau, crm","
az consulting
","cdi
 ",65000.0,72000.0
data analyst,2023-01-25,paris,"excel, ios","
sintel
","cdi
 ",36000.0,40000.0
chargé.e de production  mise en réseau data ,2023-01-25,champs sur marne,"communication, support, réseaux","
rhon'telecom
","cdi
 ",28000.0,34000.0
data analyst,2023-01-17,boulogne billancourt,"outils, business intelligence, acquisition, power bi, tableau, moe, moa, excel, crm","
accenta
","cdi
 ",45000.0,55000.0
data analyst,2023-01-26,neuilly sur seine,"python, communication, acquisition, tableau, excel, ios","
pricewaterhousecoopers advisory
","cdi
 ",40500.0,48000.0
data analyst,2023-01-26,puteaux,"communication, réseaux, excel, crm","
data swing
","intérim
 ",45000.0,55000.0
data analyst,2023-01-25,paris,"sql, communication, bases de données, power bi, tableau, vba, excel, salesforce, crm","
trueson france
","intérim
 ",30000.0,35000.0
responsable,2023-01-24,evry courcouronnes,"outils, communication, marketing, git, support, web, moa, excel, salesforce, crm","
animalis
","cdi
 ",40000.0,45000.0
consultant,2023-01-23,plaisir,"sql, outils, saas, business intelligence, sap, power bi, tableau","
jcdecaux france
","cdi
 ",40000.0,60000.0
"chefcheffe de projet statistiques,data,conception outils   ",2023-01-26,paris,"sql, outils, git, bases de données, java, power bi, sql server, c#, javascript, excel","
uniformation
","cdd
 ",40000.0,45000.0
manager,2023-01-11,poissy,"sql, data management, git, sécurité, crm","
adsearch
","cdi
 ",50000.0,60000.0
data analyst,2023-01-23,nanterre,outils,"
spie batignolles
","cdi
 ",35000.0,40000.0
ingenieur,2023-01-04,champs sur marne,"python, sql, outils, git, bases de données, support, devops, excel, ios","
ctre scientifique technique du batiment
","cdi
 ",46000.0,50000.0
data scientist,2023-01-25,paris,"python, test, big data, saas, data management, scala","
polyconseil
","cdd
 ",36000.0,45000.0
chef de projet,2023-01-23,boulogne billancourt,"outils, support, excel","
pryam consulting
","cdi
 ",55000.0,60000.0
ingénieur data et intégration des données ,2023-01-25,puteaux,"sql, bases de données, web, oracle, cloud, etl","
loxam
","cdi
 ",41000.0,43000.0
cloud data architect  ,2023-01-19,paris,"outils, communication, support, web, cloud, devops, sécurité","
dcube
","cdi
 ",50000.0,55000.0
cloud data architect  ,2023-01-19,paris,"outils, communication, support, web, cloud, devops, sécurité","
dcube
","cdi
 ",50000.0,55000.0
data analyst,2023-01-26,ile de france,"python, sql, agile, test, big data, recette, outils, validation, cloud, tableau, php","
tsm consulting
","cdi
 ",30000.0,34000.0
data scientist,2023-01-25,puteaux,"sql, outils, etl","
data swing
","cdi
 ",45000.0,55000.0
global product owner data analytics ,2023-01-25,chatillon,"agile, test, recette, sécurité","
axa partners holding sa
","cdd
 ",60000.0,70000.0
data analyst,2023-01-19,chatillon,"sql, test, big data, nosql, git, sas, power bi, cloud, tableau, devops, spark","
axa partners holding sa
","cdi
 ",40000.0,50000.0
data analyst,2023-01-25,ile de france,"python, agile, test, big data, outils, scrum, etl, spark","
sas k-lagan france
","cdd
 ",42000.0,60000.0
manager,2023-01-24,paris,"business intelligence, bases de données, power bi","
heneo
","cdi
 ",49000.0,51000.0
consultant,2023-01-25,ile de france,"marketing, crm","
aktisea
","cdd
 ",25000.0,30000.0
délégué à la protection des données ,2023-01-25,versailles,sécurité,"
c.i.g. de la grande couronne
","cdi
 ",25000.0,40000.0
analyste commercial ,2023-01-25,boulogne billancourt,"support, excel, crm","
sarawak paris
","cdi
 ",24000.0,26000.0
ingenieur,2023-01-26,st ouen sur seine,"sql, test, outils, sas, power bi, sql server, tableau, excel, etl","
groupe gli
","cdd
 ",35000.0,45000.0
consultant,2023-01-25,paris,"test, recette, communication, support","
f.b.h.associes
","cdi
 ",45000.0,90000.0
responsable,2023-01-23,paris,"outils, bases de données, sap, tableau, sécurité, salesforce","
brainlogic
","cdi
 ",50000.0,65000.0
chef de projet,2023-01-23,paris,etl,"
tenor
","cdi
 ",25000.0,36000.0
data engineer,2023-01-25,paris,"sql, recette, machine learning, sas, power bi, excel","
link consulting
","cdi
 ",60000.0,70000.0
