Unnamed: 0,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires minimum,Salaires maximum
87,consultant,2023-01-14,st ouen sur seine,"data management, data quality","
gfi
","cdi
 ",40000.0,58000.0
104,data privacy officer,2023-01-11,ivry sur seine,"big data, outils, communication, iaas, paas, saas, acquisition, sas","
robert half international
","cdd
 ",60000.0,60000.0
105,manager,2023-01-10,neuilly sur seine,"python, sql, test, intelligence artificielle, saas, réseaux sociaux, réseaux, scala, web, postgresql, devops, spark","
seyos
","cdi
 ",60000.0,70000.0
106,data scientist,2023-01-10,paris,"sql, test, tableau, data quality","
dynamis rh
","cdi
 ",60000.0,70000.0
107,manager,2023-01-12,montigny le bretonneux,"python, sas, power bi, tableau, excel","
qr versailles it
","cdi
 ",35000.0,45000.0
113,business analyst,2023-01-07,paris  dept,"marketing, support, excel","
mp
","cdi
 ",155988.0,207984.0
129,développeur python ,2023-01-03,st ouen l aumone,"python, sql, test, big data, bases de données, oracle, mysql, postgresql","
inetum
","cdi
 ",40000.0,60000.0
130,développeur backend senior ,2023-01-20,paris,"sql, outils, communication, nosql, git, bases de données, serveur, cloud, devops, sécurité, excel","
nextgen rh
","cdi
 ",55000.0,70000.0
132,data scientist,2023-01-26,neuilly sur seine,"python, sql, test, outils, communication, nosql, machine learning, cloud, ios, spark, nlp, tensorflow","
pricewaterhousecoopers audit
","cdi
 ",40000.0,46000.0
135,data analyst,2023-01-26,paris,"outils, bases de données, support, web, cloud, tableau","
agence qualite construction
","cdi
 ",35000.0,40000.0
137,manager,2023-01-26,paris,"communication, git, acquisition, tableau, excel","
uptoo
","cdi
 ",40000.0,60000.0
146,consultant,2023-01-26,neuilly sur seine,"communication, data management, cloud","
pricewaterhousecoopers audit
","cdd
 ",40000.0,46000.0
148,data engineer,2023-01-26,neuilly sur seine,"python, sql, agile, big data, outils, machine learning, git, web, postgresql, cloud, qlik, tableau, spark","
pricewaterhousecoopers audit
","cdd
 ",40000.0,46000.0
149,consultant,2023-01-26,neuilly sur seine,"outils, communication, data management, cloud, excel, data quality","
pricewaterhousecoopers audit
","cdi
 ",40000.0,46000.0
150,data analyst,2023-01-26,neuilly sur seine,"python, sql, outils, communication, sas, power bi, cloud, qlik, tableau, salesforce, spark, tensorflow","
pricewaterhousecoopers audit
","cdi
 ",40000.0,46000.0
151,data analyst,2023-01-26,neuilly sur seine,"python, sql, outils, communication, sas, power bi, cloud, qlik, tableau, salesforce, spark, tensorflow","
pricewaterhousecoopers audit
","intérim
 ",40000.0,46000.0
164,data engineer,2023-01-25,paris,"sql, recette, sas, power bi, excel","
link consulting
","intérim
 ",45000.0,50000.0
168,consultant,2023-01-25,paris,"python, test, outils, machine learning, web, cloud, tableau, vba","
go concept
","cdi
 ",35000.0,55000.0
172,chef de projet,2023-01-25,paris,communication,"
nextgen rh
","cdi
 ",45000.0,55000.0
173,data scientist,2023-01-25,courbevoie,"python, agile, test, git, java, c++, excel, tensorflow, keras","
gfi informatique
","cdi
 ",45000.0,60000.0
178,consultant,2023-01-25,paris,"python, sql, data management, business intelligence, power bi, cloud, moe, excel","
datatorii
","cdi
 ",45000.0,55000.0
309,master data supply chain sap   création ,2023-01-24,rungis,"test, sap, excel","
page personnel
","cdi
 ",41000.0,47000.0
311,data analyst,2023-01-24,paris,"outils, excel","
michael page international france
","cdi
 ",40000.0,46000.0
317,manager,2023-01-24,paris,"sql, git, bases de données, qlik, sécurité, talend, etl","
michael page international france
","cdi
 ",48000.0,50000.0
318,"ingénieur data  bi   système, réseaux, données ",2023-01-24,boulogne billancourt,"communication, bases de données","
alten
","cdi
 ",33000.0,42000.0
319,data scientist,2023-01-24,boulogne billancourt,"python, sql, machine learning, sécurité, spark","
agap2it
","cdi
 ",35000.0,60000.0
