Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum,origine
data analyst,2022-12-25,moussy le vieux,"si,support,sap",tereos,cdi,,,patrick
data analyst,2023-01-12,france,"outils,support,decisionnel,sql,test",safran-group,cdi,,,patrick
data analyst,2022-12-31,maisons alfort,"support,sql,data management,business objects,t-sql",fed it,cdd/interim,45000.0,50000.0,patrick
data analyst,2022-12-18,paris,"cloud,paas,qlik,iaas,support",cegid,cdi,,,patrick
data analyst,2022-12-15,paris,"data management,business intelligence,bases de donnees",fed it,cdi,60000.0,62000.0,patrick
data analyst,2023-01-15,paris,"crm,agile,decisionnel,reseaux,reseau",credit agricole,cdi,,,patrick
data analyst,2023-01-02,rueil malmaison,"big data,scrum,intelligence artificielle,electronique,maintenance",vinci,stage,,,patrick
data analyst,2023-01-02,paris,"mobile,marketing,outils,t-sql,sql",paris&co,cdi,,,patrick
responsable,2023-01-01,la defense,"sas,telephonie,serveur,communication",societe generale,cdi,,,patrick
ingenieur,2023-01-12,suresnes,"digital,outils,cloud,webmarketing,marketing",fyte,cdi,,,patrick
data analyst,2023-01-01,saint ouen,"outils,marketing,digital,machine learning,python",groupe engie,cdi,,,patrick
data scientist,2022-12-18,rueil malmaison,"marketing,data management,support",fed it,cdi,60000.0,65000.0,patrick
ingenieur,2023-01-06,puteaux,"securite,securite,si,reseau,outils",i-tracing,cdi,,,patrick
consultant,2023-01-13,paris,"big data,oracle,cloud,sap,python",selescope,,60000.0,70000.0,patrick
ingenieur,2023-01-13,paris,"big data,python,support,intelligence artificielle,hadoop",banque de france,cdi,,,patrick
manager,2023-01-01,fontenay sous bois,"data quality,marketing",societe generale,cdi,,,patrick
chef de projet,2023-01-10,gennevilliers,"marketing,outils,digital,ux,mobile",hays france,cdi,60000.0,70000.0,patrick
ingenieur,2023-01-06,puteaux,"securite,securite,cloud,si,iaas",i-tracing,cdi,,,patrick
controleur data quality  ,2023-01-15,paris,"data quality,sas,systeme,methodologie,support",banque de france,cdi,,,patrick
developpeur,2022-12-24,fontenay sous bois,"web,javascript,open source,d3,angularjs",societe generale,cdi,,,patrick
architecte,2023-01-06,puteaux,"securite,securite,cloud,si,iaas",i-tracing,cdi,,,patrick
developpeur,2022-12-22,levallois perret,"si,web,infrastructure,cloud,salesforce",edifixio,cdi,,,patrick
consultant,2022-12-22,levallois perret,"si,cloud,salesforce,web,infrastructure",edifixio,cdi,,,patrick
chef de projet,2023-01-11,gentilly,"t-sql,recette,sql,database,maintenance",chronopost sas,,,,patrick
apprenti,2023-01-09,tremblay en france,"big data,decisionnel,systeme,support,business intelligence",air france,contrat d'apprentissage,,,patrick
stage,2023-01-13,neuilly sur seine,"digital,support,sql,outils,marketing",groupe m6,cdi,,,patrick
developpeur,2022-12-22,france,"si,web,salesforce,infrastructure,html5",edifixio,cdi,,,patrick
technicien,2023-01-08,guyancourt,"maintenance,support,securite,reseaux,cloud",spie ics,cdi,,,patrick
expert,2022-12-25,moussy le vieux,"si,talend,data management,support,test",tereos,cdi,,,patrick
stage,2022-12-15,saint ouen,"outils,support,video,decisionnel,data management",danone,cdi,,,patrick
data scientist,2022-12-29,ile de france,"sql,data lab,machine learning,support,big data",safran-group,cdi,,,patrick
consultant,2023-01-04,paris,"internet,support,support applicatif,design,moe",criteo,cdi,,,patrick
ingenieur,2023-01-14,paris,"securite,securite,reseaux,lan,support",uniware global services,cdi,45000.0,60000.0,patrick
data analyst,2022-12-24,ile de france,"agile,scrum,moa,progiciel,systeme",natixis,cdi,,,patrick
ingenieur,2023-01-14,neuilly sur seine,"devops,jenkins,outils,linux,infrastructure",uniware global services,cdi,42000.0,60000.0,patrick
ingenieur,2023-01-14,neuilly sur seine,"support,vmware,python,javascript,securite",uniware global services,cdi,40000.0,55000.0,patrick
ingenieur,2023-01-10,ile de france,"qlik,agile,qlikview,sql,support",direct energie,cdi,,,patrick
postdoctorant iabig data ,2022-12-19,paris,"digital,big data,machine learning,intelligence artificielle,bases de donnees",business & decision,cdi,,,patrick
responsable,2023-01-08,lisses,"support,communication,big data,cloud,hadoop",fed it,cdi,57000.0,62000.0,patrick
ingenieur,2023-01-14,neuilly sur seine,"vmware,support,windows,microsoft,systeme",uniware global services,cdi,40000.0,55000.0,patrick
consultant,2022-12-15,saint germain en laye,"business intelligence,big data,java,outils,sql",trimane,cdi,,,patrick
ingenieur,2023-01-14,paris,"cloud,saas,paas,iaas,infrastructure",uniware global services,cdi,40000.0,60000.0,patrick
ingenieur,2022-12-30,le plessis robinson,"lattice,python,aix,design",cs communication & systemes,cdi,,,patrick
stage,2022-12-26,fontenay sous bois,"outils,si,langage,big data,python",societe generale,cdi,,,patrick
business analyst,2023-01-02,fontenay sous bois,"agile,data quality,big data,data management,methodologie",societe generale,cdi,,,patrick
ingenieur,2023-01-14,paris,"windows,unix,cft,reseaux,outils",uniware global services,cdi,40000.0,60000.0,patrick
ingenieur,2023-01-14,paris,"reseau,cisco,reseaux,securite,securite",uniware global services,cdi,40000.0,60000.0,patrick
consultant,2023-01-15,antony,"sap,qlikview,etl,talend,qlik",,,,,patrick
chef de projet,2022-12-15,paris,"si,moa,moe,agile,outils",caisse des depots,cdi,,,patrick
apprenti,2023-01-12,velizy villacoublay,"securite,securite,reseaux,communication,outils",thales services s.a.s.,,,,patrick
data scientist,2022-12-18,paris,"machine learning,less,big data,hadoop,exchange",criteo,cdi,,,patrick
alternance,2022-12-30,fontenay sous bois,"si,data management,methodologie,outils,machine learning",societe generale,cdi,,,patrick
data scientist,2023-01-13,poissy,"marketing,python,java,intelligence artificielle,systeme",groupe psa,cdi,,,patrick
architecte,2022-12-29,ile de france,"big data,outils,systeme,hadoop,scala",safran-group,cdi,,,patrick
data scientist,2022-12-29,ile de france,"sql,data lab,machine learning,big data,scala",safran-group,cdi,,,patrick
consultant,2022-12-15,ile de france,"big data,qlik,outils,business intelligence",trimane,cdi,,,patrick
manager,2022-12-15,paris,"maintenance,communication,infrastructure,design",amazon,cdi,,,patrick
developpeur,2022-12-19,paris,"vba,web,langage,t-sql,sql",synchrone,cdi,30000.0,50000.0,patrick
stage,2022-12-15,courbevoie,"java,infrastructure,angularjs,devops,big data",,,,,patrick
data analyst,2022-12-24,ile de france,"test,recette,validation,mobile,moa",infotel,cdi,,,patrick
consultant,2022-12-15,ile de france,"talend,moa,recette,optimisation,outils",trimane,cdi,,,patrick
ingenieur,2022-12-24,paris,"php,php5,javascript,angularjs,symfony",infotel,cdi,,,patrick
ingenieur,2023-01-12,paris,"middleware,support,infrastructure,optimisation,python",uniware global services,cdi,45000.0,60000.0,patrick
architecte,2023-01-12,paris,"infrastructure,support,si,systeme",uniware global services,cdi,40000.0,60000.0,patrick
ingenieur,2023-01-12,paris,"cloud,support,python,paas,securite",uniware global services,cdi,38000.0,56000.0,patrick
chef de projet,2023-01-05,la defense,"big data,marketing,methodologie,communication",societe generale,cdi,,,patrick
stage,2022-12-24,la defense,"si,decisionnel,data quality",societe generale,cdi,,,patrick
ingenieur,2022-12-29,ile de france,"bases de donnees,outils,linux,big data,python",safran-group,cdi,,,patrick
consultant,2022-12-15,ile de france,"cognos,framework,etl,big data,outils",trimane,cdi,,,patrick
expert,2023-01-01,paray vieille poste,"securite,securite,outils,windows,communication",ergalis,cdd/interim,,,patrick
stage,2022-12-29,ile de france,"support,data management,big data,bases de donnees",safran-group,stage,,,patrick
manager,2022-12-21,pantin,"outils,digital,plm,support,moa",hermes,cdi,,,patrick
stage,2022-12-29,ile de france,"electronique,outils,validation,data management",safran-group,stage,,,patrick
chef de projet,2022-12-19,paris,"moa,si,crm,support,agile",groupama,cdi,,,patrick
developpeur,2022-12-22,ile de france,"python,maintenance,support,securite,big data",engie,cdi,,,patrick
alternance,2023-01-08,colombes,"marketing,si,support,data management,reseau",societe generale,cdi,,,patrick
architecte,2023-01-14,paris,"poste de travail,microsoft,support,cloud,infrastructure",uniware global services,cdi,50000.0,70000.0,patrick
